ID,Candidate,ContentVersion,EnvironmentDevice,Actor,Date,Status,ExpectedResult,ActualResult,Evidence,Owner
HV-C01,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; Chromium desktop and mobile,Anonymous,2026-09-24,passed,"Broader brand and recipe starting point are clear","Hero and four-pillar overview render with preparation copy and recipe action","tests/e2e/homepage-vision.spec.ts; screenshots/homepage-390.png; screenshots/homepage-1280.png",Engineering
HV-C02,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; three Playwright projects,Anonymous,2026-09-24,passed,"Each detailed future feature shows planned status without relying on FAQ or hover","All three details show Planned for the web and a nearby illustrative caption","tests/e2e/homepage-vision.spec.ts",Engineering
HV-C03,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; three Playwright projects,Anonymous,2026-09-24,passed,"Preparation state makes no availability or purchase claim","No home recipe cards or collection section; page says collection is in preparation and nothing is for sale","tests/e2e/homepage-vision.spec.ts",Engineering
HV-C04,homepage-vision-implementation-v1,hv-2026-09-24,Contract unit tests; free-ready UI not selected,Synthetic,2026-09-24,not_applicable,"Free-ready claims appear only after verified prerequisites","Candidate stays in preparation; contract accepts approved slugs but free-ready page rendering is not selected","tests/homepage/homepage-content.test.mjs; RELEASE-RECORD.md",Content owner
HV-C05,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; preparation state,Anonymous,2026-09-24,not_applicable,"Collection summary and purchase boundary agree","No transactional collection summary is rendered in preparation state","tests/e2e/homepage-vision.spec.ts",Engineering
HV-C06,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; three Playwright projects,Anonymous,2026-09-24,passed,"No unsupported prices, expert/safety claims, testimonials or purchase promises","Rendered copy assertion rejects prices and selected unsupported claims; visual review found no purchase prompt","tests/e2e/homepage-vision.spec.ts; screenshots/homepage-1280.png",Content owner
HV-C07,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; source copy checked against About,Anonymous,2026-09-24,passed,"Story and FAQ use the established brand relationship","Story and FAQ assertions match the existing product/parenting-companion/Tiny Soho facts","tests/e2e/homepage-vision.spec.ts; DECISIONS-AND-COPY.md",Content owner
HV-C08,homepage-vision-implementation-v1,hv-2026-09-24,Local production build and generated social image,Anonymous,2026-09-24,passed,"Hero, state labels, FAQ and metadata agree","Preparation copy and planned-preview labels are consistent; title, description, canonical and social card verified","tests/e2e/homepage-vision.spec.ts; screenshots/opengraph.png",Engineering
HV-R01,homepage-vision-implementation-v1,hv-2026-09-24,No free-ready deployment selected,Anonymous,2026-09-24,not_applicable,"Three approved free destinations work anonymously","Preparation state exposes no free-ready homepage cards; live recipe readiness remains unverified","BASELINE.md; RELEASE-RECORD.md",Content owner
HV-R02,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; no recipe read in preparation,Anonymous,2026-09-24,not_applicable,"Recipe failure leaves static home readable with an honest fallback","Preparation branch does not query Supabase; non-preparation failure UI is present but not exercised in this state","src/components/home/HomeRecipes.tsx; RELEASE-RECORD.md",Engineering
HV-R03,homepage-vision-implementation-v1,hv-2026-09-24,Local production build; preparation state,Anonymous,2026-09-24,not_applicable,"Paid recipe content never enters free home cards","No recipe cards or recipe bodies are rendered in current state","tests/e2e/homepage-vision.spec.ts",Engineering
HV-R04,homepage-vision-implementation-v1,hv-2026-09-24,No free-ready slot publication selected,Anonymous,2026-09-24,not_applicable,"Slot withdrawal creates no fabricated replacement","No slot cards are rendered; withdrawal/owner alert behavior is not active in preparation state","BASELINE.md",Engineering
